Process: 0, Elapsed time is 0.000523s
Process: 23, Elapsed time is 0.000800s
Process: 1, Elapsed time is 0.000583s
Process: 24, Elapsed time is 0.000759s
Process: 2, Elapsed time is 0.000581s
Process: 25, Elapsed time is 0.000769s
Process: 3, Elapsed time is 0.000633s
Process: 26, Elapsed time is 0.000741s
Process: 5, Elapsed time is 0.000596s
Process: 27, Elapsed time is 0.000785s
Process: 8, Elapsed time is 0.000635s
Process: 28, Elapsed time is 0.000780s
Process: 9, Elapsed time is 0.000636s
Process: 29, Elapsed time is 0.000720s
Process: 10, Elapsed time is 0.000642s
Process: 30, Elapsed time is 0.000727s
Process: 11, Elapsed time is 0.000580s
Process: 31, Elapsed time is 0.000759s
Process: 12, Elapsed time is 0.000641s
Process: 16, Elapsed time is 0.000827s
Process: 13, Elapsed time is 0.000615s
Process: 17, Elapsed time is 0.000856s
Process: 14, Elapsed time is 0.000668s
Process: 18, Elapsed time is 0.000870s
Process: 15, Elapsed time is 0.000680s
Process: 19, Elapsed time is 0.000828s
Process: 6, Elapsed time is 0.000660s
Process: 20, Elapsed time is 0.000831s
Process: 7, Elapsed time is 0.000637s
Process: 21, Elapsed time is 0.000813s
Process: 4, Elapsed time is 0.000606s
Process: 22, Elapsed time is 0.000804s
N: 2000
