Process: 0, Elapsed time is 0.000543s
Process: 1, Elapsed time is 0.000553s
Process: 25, Elapsed time is 0.000716s
Process: 2, Elapsed time is 0.000561s
Process: 26, Elapsed time is 0.000703s
Process: 3, Elapsed time is 0.000588s
Process: 27, Elapsed time is 0.000680s
Process: 4, Elapsed time is 0.000591s
Process: 28, Elapsed time is 0.000709s
Process: 5, Elapsed time is 0.000613s
Process: 29, Elapsed time is 0.000698s
Process: 6, Elapsed time is 0.000595s
Process: 30, Elapsed time is 0.000652s
Process: 9, Elapsed time is 0.000666s
Process: 31, Elapsed time is 0.000741s
Process: 10, Elapsed time is 0.000623s
Process: 16, Elapsed time is 0.000824s
Process: 11, Elapsed time is 0.000656s
Process: 20, Elapsed time is 0.000776s
Process: 7, Elapsed time is 0.000643s
Process: 21, Elapsed time is 0.000768s
Process: 8, Elapsed time is 0.000619s
Process: 22, Elapsed time is 0.000771s
Process: 12, Elapsed time is 0.000644s
Process: 23, Elapsed time is 0.000742s
Process: 14, Elapsed time is 0.000666s
Process: 24, Elapsed time is 0.000751s
Process: 15, Elapsed time is 0.000733s
Process: 13, Elapsed time is 0.000680s
Process: 17, Elapsed time is 0.001365s
Process: 18, Elapsed time is 0.001355s
Process: 19, Elapsed time is 0.001282s
N: 1000
