Process: 0, Elapsed time is 0.000935s
Process: 28, Elapsed time is 0.001255s
Process: 13, Elapsed time is 0.001152s
Process: 29, Elapsed time is 0.001238s
Process: 9, Elapsed time is 0.001187s
Process: 30, Elapsed time is 0.001217s
Process: 10, Elapsed time is 0.001156s
Process: 31, Elapsed time is 0.001209s
Process: 11, Elapsed time is 0.001195s
Process: 24, Elapsed time is 0.001330s
Process: 12, Elapsed time is 0.001140s
Process: 25, Elapsed time is 0.001318s
Process: 14, Elapsed time is 0.001288s
Process: 26, Elapsed time is 0.001271s
Process: 15, Elapsed time is 0.001285s
Process: 27, Elapsed time is 0.001299s
Process: 1, Elapsed time is 0.001286s
Process: 22, Elapsed time is 0.001409s
Process: 8, Elapsed time is 0.001293s
Process: 23, Elapsed time is 0.001362s
Process: 7, Elapsed time is 0.001298s
Process: 21, Elapsed time is 0.001404s
Process: 6, Elapsed time is 0.001320s
Process: 19, Elapsed time is 0.001442s
Process: 5, Elapsed time is 0.001337s
Process: 20, Elapsed time is 0.001451s
Process: 16, Elapsed time is 0.001550s
Process: 17, Elapsed time is 0.001495s
Process: 18, Elapsed time is 0.001466s
Process: 3, Elapsed time is 0.001585s
Process: 4, Elapsed time is 0.001605s
Process: 2, Elapsed time is 0.001585s
N: 4000
